route_id,start_location,end_location,transport_mode,filename
6b2f664f-abef-4c80-81b8-4c650bb8b4ca,"Bethanien, Namibia",Keetmanshoop,auto,6b2f664f-abef-4c80-81b8-4c650bb8b4ca.geojson
360c8882-f2c4-449b-8ec1-e2b5fbad2cd8,Keetmanshoop,Sesriem,auto,360c8882-f2c4-449b-8ec1-e2b5fbad2cd8.geojson
09e68fa5-7036-4bc3-9e1b-d6b0517b5ff2,Sesriem,Walvis Bay,auto,09e68fa5-7036-4bc3-9e1b-d6b0517b5ff2.geojson
70c145dd-917d-4d16-8484-41dc5a98d031,Walvis Bay,Swakopmund,auto,70c145dd-917d-4d16-8484-41dc5a98d031.geojson
a8f3f8bc-b9c9-4c70-9416-79ecc51b1600,Swakopmund,Okaukuejo,auto,a8f3f8bc-b9c9-4c70-9416-79ecc51b1600.geojson
3cb2a3ca-c5fe-434d-9b86-6ded144fe188,Okaukuejo,Windhoek Airport,auto,3cb2a3ca-c5fe-434d-9b86-6ded144fe188.geojson
a87a9067-57ae-490d-84c6-a58b7b5101d7,Windhoek Airport,Cape Town Airport,plane,great_circle_route_94.geojson
2ddd706b-61f1-4371-821f-8570e0ea43d0,Cape Town,L'Agulhas,auto,2ddd706b-61f1-4371-821f-8570e0ea43d0.geojson
a7b24b05-218c-470a-8971-0b208a9aedf7,L'Agulhas,Skipskop,auto,a7b24b05-218c-470a-8971-0b208a9aedf7.geojson
7c687e11-56e5-4f55-bfee-c8be5b38f083,Cape Town,Robben Island,boat,boat_robben_island.geojson
93451f29-e4ee-4135-9c12-6a411e6bce3e,Cape Town,Two Oceans Restaurant,auto,93451f29-e4ee-4135-9c12-6a411e6bce3e.geojson
b9a15c17-7b26-4990-b09a-9d0ab8ef5342,Ronald Reagan Washington National Airport,Juan Santamaría International Airport,plane,great_circle_route_99.geojson
f369977b-96b5-4939-ac40-f40d8ca18cf9,Ronald Reagan Washington National Airport,"Lima Airport, Peru",plane,great_circle_route_100.geojson
208f2590-8f59-484c-ac73-9272facfb177,"Lima Airport, Peru",Alejandro Velasco Astete International Airport,plane,great_circle_route_101.geojson
ea1557da-42d7-4fa2-8cfb-df652e62a453,Juan Santamaría International Airport,El Salvador International Airport,plane,great_circle_route_102.geojson
dcae5d60-71ab-4055-a82f-ad7dff3dc303,El Salvador International Airport,San Francisco Airport,plane,great_circle_route_103.geojson
a85f78f5-4fd8-4d71-862f-551fac2bac1a,Ronald Reagan Washington National Airport,Mexico City Airport,plane,great_circle_route_104.geojson
32a5450e-e64d-4da2-87df-536de2a81769,"Cancun Airport, Mexico",Ronald Reagan Washington National Airport,plane,great_circle_route_105.geojson
04ca803a-eb84-46c0-807f-1872a98e4b26,"San Jose del Cabo Airport, Mexico",Ronald Reagan Washington National Airport,plane,great_circle_route_106.geojson
b8b50c0d-3bd4-47dc-b42d-febd00245f66,Ronald Reagan Washington National Airport,Cyril E. King Airport,plane,great_circle_route_107.geojson
91242f0e-f858-488a-b3bb-587d00ab246e,Cyril E. King Airport,Henry E. Rohlsen Airport,plane,great_circle_route_108.geojson
91d57c74-6d2f-4ad4-b0e5-ef9500d6d856,"San Juan Airport, Puerto Rico",Ronald Reagan Washington National Airport,plane,great_circle_route_109.geojson
4e510603-abea-4f72-8a0f-3026caa390a5,"San Juan Airport, Puerto Rico",Antonio Rivera Rodríguez Airport,plane,great_circle_route_110.geojson
732d762b-999b-4173-be65-9e2a63c7bd7a,"San Juan Airport, Puerto Rico",Culebra Airport,plane,great_circle_route_111.geojson
